MAP INDEX,MUNICIPALITY,BARANGAY,LOT NO. ,SURVEY NO.,TCT NO.,TD NO. ,REGISTERED OWNER,AREA (SQM),AREA (HA),AGREEMENT GROUP,AGREEMENT DOC TYPE,PROPERTY DOCUMENT NO.,AGREEMENT TYPE,AGREEMENT AREA (SQM),AGREEMENT AREA (HA),PRICE/SQM,LAND VALUE,INFUSION STATUS,INFUSED AREA (SQM),INFUSION AREA (HA),INFUSION DATE,INFUSION YEAR,INFUSION REMARKS,INFUSION BATCH,DATE OF TITLE TRANSFER,ACQUISITION GROUP,ACQUISITION CLASS,LAND GROUP,ESTATE LANDS,CLEAN-UP BATCH,CLEAN-UP STATUS,CLEAN-UP TIMELINE,LEGAL REMARKS,TD CLASSIFICATION,DAR STATUS,DATE DAR GRANTED,DAR REFERENCE NO.,CERTIFICATE OF FINALITY,LIAISON REMARKS,CURRENT DOC TYPE,DOCUMENT CONTROL,GIS STATUS,GIS REMARKS,DATE UPDATED,UPDATE LOG,PROJECT,ZONAL VALUE,ZONAL VALUE PRICE/SQM,LAND VALUE PER CONTRACT,CONTRACT PRICE/SQM,PROJECT ALLOCATION,LAND USE CLASSIFICATION,BD INDEX,DOCUMENT LINK,IMAGE LINK
RALI-0133,CARMONA,LANTIC,12,BCS-04-000232 (OLT),057-2019019055,,JUAN LICMUAN,9725,0.9725,GROUP 4,CLOA,CLOA-77,ORIGINAL,9725,0.9725,1850,17991250,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 6,RALI-GROUP 4,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,16532500,1700,17991250,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0134,CARMONA,LANTIC,34,BCS-04-000247 (AR),CLOA-1061,,"ROYAL ASIA LAND, INC.",16525,1.6525,GROUP 4,CLOA,CLOA-1061,ORIGINAL,16525,1.6525,1850,30571250,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 4,RALI-GROUP 4,Within 5 years,"• Annotation of LBP real estate mortgage not yet cancelled;
• With DAR Order (Land Use Conversion) dated 13 November 2023;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,28092500,1700,30571250,1850,R3B,RESIDENTIAL,No ID/Unmapped,,
RALI-0135,CARMONA,LANTIC,83,BCS-04-000232 (OLT),CLOA-30,,ALBERTO M. PANOPIO,12144,1.2144,GROUP 4,CLOA,CLOA-30,ORIGINAL,12144,1.2144,1850,22466400,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 4,RALI-GROUP 4,More than 10 years,"• Annotation of LBP real estate mortgage not yet cancelled;
• Adverse Claims (Laguna West) not yet cancelled;
• Issued DAR Order (Land Use Conversion) with Finality dated 19 July 2022;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,20644800,1700,22466400,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0136,CARMONA,LANTIC,27,BCS-04-000232 (OLT),CLOA-53,,"ROYAL ASIA LAND, INC.",1759,0.1759,GROUP 4,CLOA,CLOA-53,ORIGINAL,1759,0.1759,1850,3254150,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 4,RALI-GROUP 4,More than 10 years,"• Annotation of LBP real estate mortgage not yet cancelled;
• Adverse Claims (Laguna West) not yet cancelled;
• With annotation of Affidavit of Loss executed by Julieta Presnosa  with Entry No. 2021039678; and Affidavit of Non-Loss executed by RALI with Entry No. 2022052882;
• With DAR Order (Land Use Conversion) dated 13 November 2023;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,2990300,1700,3254150,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0137,CARMONA,LANTIC,31,BCS-04-000232 (OLT),CLOA-64,,"ROYAL ASIA LAND, INC.",14408,1.4408,GROUP 4,CLOA,CLOA-64,ORIGINAL,14408,1.4408,1850,26654800,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 4,RALI-GROUP 4,More than 10 years,"• Not yet converted;
• Title were trasferred under the name of Nelia Fuentebella Gonzales; 
• Adverse Claim executed by Jose Antonio C. Leviste with Entry No. 2017002337 not yet cancelled;
• Adverse Claim executed by Nelia Gonzales with Entry No. 2017062300 not yet cancelled;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,NOT ON HAND,MAPPED,FOR REVIEW OF DOCUMENTS - 2ND PRIO REQUEST RALI,,,,24493600,1700,26654800,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0138,CARMONA,LANTIC,1,BCS-04-000232 (OLT),CLOA-119,,ELPIDIO M. PANOPIO,17507,1.7507,GROUP 4,CLOA,CLOA-119,ORIGINAL,17507,1.7507,1850,32387950,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 1,RALI-GROUP 4,More than 10 years,"• Adverse Claims (Laguna West) were already cancelled under Entry No. 2022020288;
• Affidavit of Loss executed by Jocelyn Panopio under Entry No. 2023065236.
• Issued DAR Order (Land Use Conversion) with Finality dated 22 April 2024.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,NOT ON HAND,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,29761900,1700,32387950,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0139,CARMONA,LANTIC,65,BCS-04-000232 (OLT),CLOA-125,,LEOPOLDO M. ALCAZAR,541,0.0541,GROUP 4,CLOA,CLOA-125,ORIGINAL,541,0.0541,1850,1000850,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 4,RALI-GROUP 4,More than 10 years,"• Annotation of LBP real estate mortgage not yet cancelled;
• With annotation of Affidavit of Loss executed by Leona Alcazar Catibog with Entry No. 2021074585; and Affidavit of Non-Loss executed by RALI with Entry No. 2022046675;
• With DAR Order (Land Use Conversion) dated 13 November 2023;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,919700,1700,1000850,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0140,CARMONA,LANTIC,130,BCS-04-000232 (OLT),057-2024015113,,AKL PROPERTIES INC.,20761,2.0761,GROUP 4,CLOA,CLOA-197,ORIGINAL,20761,2.0761,1850,38407850,INFUSED,20761,2.0761,45541,2024,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA, AREA 167,704 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,FOR VERIFICATION,,04-2023-1026-01-074,22/04/2024,,TITLED,UPLOADED ON DRIVE,MAPPED,REPLOTTING,,,,35293700,1700,38407850,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20130,%20CARMONA%20HEIGHTS%20PROPERTY%20CORPORATION?csf=1&web=1&e=8LvGgA",
RALI-0142,CARMONA,LANTIC,20,BCS-04-000232 (OLT),CLOA-70,,TEODULO M. NAZ,7922,0.7922,GROUP 4,CLOA,CLOA-70,ORIGINAL,7922,0.7922,1850,14655700,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 4,RALI-GROUP 4,More than 10 years,"• Annotation of LBP real estate mortgage not yet cancelled;
• Adverse Claims (Laguna West) not yet cancelled;
• Adverse Claim executed by Sps. Salud with Entry No. 1487 cancelled under Entry No. 4118;
• Title is subject of an on-going transaction on 25 October 2022 with Entry No. 2022066268;
• Issued DAR Order (Land Use Conversion) with Finality dated 22 April 2024;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,13467400,1700,14655700,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0145,CARMONA,LANTIC,36,BCS-04-000232 (OLT),CLOA-116,,MARIANO RODRIGUEZ,6412,0.6412,GROUP 4,CLOA,CLOA-116,ORIGINAL,6412,0.6412,1850,11862200,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 4,RALI-GROUP 4,More than 10 years,"• Annotation of LBP real estate mortgage not yet cancelled;
• With DAR Order (Land Use Conversion) dated 13 November 2023;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,10900400,1700,11862200,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0146,CARMONA,LANTIC,15,BCS-04-000232 (OLT),CLOA-128,,SORIANO A. ANARNA,13678,1.3678,GROUP 4,CLOA,CLOA-128,ORIGINAL,13678,1.3678,1850,25304300,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 1,RALI-GROUP 4,More than 10 years,"• Issued DAR Order (Land Use Conversion) with Finality dated 22 April 2024;
• For verification of pending legal issue",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,23252600,1700,25304300,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0147,CARMONA,LANTIC,13,BCS-04-000232 (OLT),CLOA-187,,MARIVIC A. REYNA,9143,0.9143,GROUP 4,CLOA,CLOA-187,ORIGINAL,9143,0.9143,1850,16914550,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 1,RALI-GROUP 4,More than 10 years,"• Adverse Claim (Laguna West) not yet cancelled 
• Notice of Lis Pendens with DARAB Case No. 264-277-99 annotated under Entry No. 6835.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,15543100,1700,16914550,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0148,CARMONA,LANTIC,123,BCS-04-000232 (OLT),057-2024015106,,AKL PROPERTIES INC.,7781,0.7781,GROUP 4,CLOA,CLOA-17,ORIGINAL,7781,0.7781,1850,14394850,INFUSED,7781,0.7781,45541,2024,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA, AREA 167,704 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,FOR VERIFICATION,,04-2023-1026-01-076,22/04/2024,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,13227700,1700,14394850,1850,R2B,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20123,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=6h4hRF",
RALI-0149,CARMONA,LANTIC,119,BCS-04-000232 (OLT),057-2024015110,,AKL PROPERTIES INC.,20232,2.0232,GROUP 4,CLOA,CLOA-22,ORIGINAL,20232,2.0232,1850,37429200,INFUSED,20232,2.0232,45541,2024,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA, AREA 167,704 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,FOR VERIFICATION,,04-2023-1026-01-074,22/04/2024,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,34394400,1700,37429200,1850,R2B,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20119,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=4NYmjs",
RALI-0150,CARMONA,LANTIC,165,BCS-04-000232 (OLT),057-2024017272,,AKL PROPERTIES INC.,15217,1.5217,GROUP 4,CLOA,CLOA-35,ORIGINAL,15217,1.5217,1850,28151450,INFUSED,15217,1.5217,45566,2024,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA W/EJS, 27,878 SQM",0,AKL,AKL - DOAS,RALI,Included,EJS,AKL-EJS,Within 5 years,"1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                

2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed  

3.  Discrepancy of 
Registered Owner in Certification",AGRICULTURAL,FOR VERIFICATION,,04-2023-1026-01-077,22/04/2024,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,25868900,1700,28151450,1850,R4A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20165,%20ROYAL%20ASIA%20LAND%20CORPORATION?csf=1&web=1&e=SOABoc",
RALI-0151,CARMONA,LANTIC,168,BCS-04-000232 (OLT),057-2019009411,,"ROYAL ASIA LAND, INC.",4828,0.4828,GROUP 4,CLOA,CLOA-37,ORIGINAL,4828,0.4828,1850,8931800,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 4,RALI-GROUP 4,More than 10 years,"• Not yet converted;
• Title were trasferred under the name of Nelia Fuentebella Gonzales; 
• Adverse Claims (Laguna West) were cancelled under Entry No. 2022054909 by virtue of Courts Decision granting the Petition for Cancellation of Adverse Claim filed by Nelia Gonzalez before the RTC Br. 109 Carmona;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TITLED,NOT ON HAND,MAPPED,FOR REVIEW OF DOCUMENTS - 2ND PRIO REQUEST RALI,,,,8207600,1700,8931800,1850,R4A,RESIDENTIAL,No ID/Unmapped,,
RALI-0152,CARMONA,LANTIC,86,BCS-04-000232 (OLT),CLOA-133,,ROGELIO A. APUNTAR,392,0.0392,GROUP 4,CLOA,CLOA-133,ORIGINAL,392,0.0392,1850,725200,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 6,RALI-GROUP 4,More than 10 years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,ERROR - TECH DESC,,,,666400,1700,725200,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0153,CARMONA,LANTIC,1328-E,BSD-04-002155 (OLT),CLOA-134,,"ROYAL ASIA LAND, INC.",4785,0.4785,GROUP 4,CLOA,CLOA-134,ORIGINAL,4785,0.4785,1850,8852250,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,8134500,1700,8852250,1850,R2C,RESIDENTIAL,No ID/Unmapped,,
RALI-0154,CARMONA,LANTIC,1328-J,BSD-04-002155 (OLT),CLOA-135,,"ROYAL ASIA LAND, INC.",16481,1.6481,GROUP 4,CLOA,CLOA-135,ORIGINAL,16481,1.6481,1850,30489850,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,ERROR - TECH DESC,,,,28017700,1700,30489850,1850,R2C,RESIDENTIAL,No ID/Unmapped,,
RALI-0155,CARMONA,LANTIC,1328-G,BSD-04-002155 (OLT),CLOA-136,,"ROYAL ASIA LAND, INC.",8728,0.8728,GROUP 4,CLOA,CLOA-136,ORIGINAL,8728,0.8728,1850,16146800,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,14837600,1700,16146800,1850,R2C,RESIDENTIAL,No ID/Unmapped,,
RALI-0156,CARMONA,LANTIC,1328-N,BSD-04-002155 (OLT),CLOA-137,,"ROYAL ASIA LAND, INC.",12380,1.238,GROUP 4,CLOA,CLOA-137,ORIGINAL,12380,1.238,1850,22903000,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,21046000,1700,22903000,1850,R2C,RESIDENTIAL,No ID/Unmapped,,
RALI-0157,CARMONA,LANTIC,1328-F,BSD-04-002155 (OLT),CLOA-140,,"ROYAL ASIA LAND, INC.",8728,0.8728,GROUP 4,CLOA,CLOA-140,ORIGINAL,8728,0.8728,1850,16146800,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,CLOA,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,14837600,1700,16146800,1850,R2C,RESIDENTIAL,No ID/Unmapped,,
RALI-0158,CARMONA,LANTIC,1099,,No Title,,EULOGIO PURIFICACION,20236,2.0236,GROUP 4,TD,TD-3165,ORIGINAL,20236,2.0236,1850,37436600,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 4,RALI-GROUP 4,6-10 Years,• With pending legal issue/s (Titling Reqts),AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,NOT ON HAND,MAPPED,FOR PLOTTING - TECH DESC READY,,,,34401200,1700,37436600,1850,R5C,RESIDENTIAL,No ID/Unmapped,,
RALI-0159,CARMONA,LANTIC,1095,CAD 285-D,057-2022009169,,"TOMAS GAN, JR",36225,3.6225,GROUP 4,TD,04-0010-00296,ORIGINAL,36225,3.6225,1850,67016250,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 4,RALI-GROUP 4,6-10 Years,"• OCT No. P-6305 covered by Free-Patent Application No. 042104-26 was issued in favor of William A. Siy and presently transferred to Sps. Go;
• Notice of Adverse Claim executed by RALI with Entry No. 2023072062;
• For verification of pending legal issue.",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,FOR PLOTTING - TECH DESC READY,,,,61582500,1700,67016250,1850,R5C,RESIDENTIAL,No ID/Unmapped,,
RALI-0160,CARMONA,LANTIC,1329,,No Title,TD-3016,AURELIA EGUIA,125112,12.5112,GROUP 4,TD,TD-3016,ORIGINAL,125112,12.5112,1850,231457200,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,Within 5 years,*TD Only,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,NOT ON HAND,MAPPED,FOR PLOTTING - TECH DESC READY,,,,212690400,1700,231457200,1850,R2C,RESIDENTIAL,No ID/Unmapped,,
RALI-0161,CARMONA,LANTIC,1058,CAD 285-D,No Title,,HRS. OF CELEDONIA MARTINEZ,127936,12.7936,GROUP 4,TD,04-0010-00698,ORIGINAL,127936,12.7936,1850,236681600,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 5,RALI-GROUP 4,6-10 Years,• With pending legal issue/s (Titling Reqts),AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,NOT ON HAND,MAPPED,FOR REVIEW OF DOCUMENTS - 2ND PRIO REQUEST RALI,,,,217491200,1700,236681600,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0162,CARMONA,MABUHAY,1022-I,CAD 285-D,AA-04-0011-02269,,"ROYAL ASIA LAND, INC.",1503,0.1503,GROUP 4,TD,97-1257,ORIGINAL,1503,0.1503,1850,2780550,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,UPLOADED ON DRIVE,MAPPED,FOR PLOTTING - TECH DESC READY,,,,2555100,1700,2780550,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0163,CARMONA,MABUHAY,1022-J,CAD 285-D,AA-04-0011-02270,,"ROYAL ASIA LAND, INC.",1503,0.1503,GROUP 4,TD,97-1258,ORIGINAL,1503,0.1503,1850,2780550,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,UPLOADED ON DRIVE,MAPPED,FOR PLOTTING - TECH DESC READY,,,,2555100,1700,2780550,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0164,CARMONA,MABUHAY,1022-H,CAD 285-D,AA-04-0011-02268,,"ROYAL ASIA LAND, INC.",1503,0.1503,GROUP 4,TD,97-1249,ORIGINAL,1503,0.1503,1850,2780550,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,UPLOADED ON DRIVE,MAPPED,FOR PLOTTING - TECH DESC READY,,,,2555100,1700,2780550,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0165,CARMONA,MABUHAY,1022-G,CAD 285-D,AA-04-0011-02267,,"ROYAL ASIA LAND, INC.",1503,0.1503,GROUP 4,TD,97-1250,ORIGINAL,1503,0.1503,1850,2780550,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 6,RALI-GROUP 4,6-10 Years,0,AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,UPLOADED ON DRIVE,MAPPED,FOR PLOTTING - TECH DESC READY,,,,2555100,1700,2780550,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0166,CARMONA,MABUHAY,1036-E,CAD 285-D,No Title,,FLORENCIA CARDONA,1429,0.1429,GROUP 4,TD,TD-1654,ORIGINAL,1429,0.1429,1850,2643650,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 5,RALI-GROUP 4,More than 10 years,• With pending legal issue/s (Titling Reqts),AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,NOT ON HAND,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,2429300,1700,2643650,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0167,CARMONA,MABUHAY,1036-I,CAD 285-D,No Title,,AUREA S. REYES,1428,0.1428,GROUP 4,TD,TD-2589,ORIGINAL,1428,0.1428,1850,2641800,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Not Included,BATCH 5,RALI-GROUP 4,More than 10 years,• With pending legal issue/s (Titling Reqts),AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,NOT ON HAND,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,2427600,1700,2641800,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0168,CARMONA,MABUHAY,1032,,AA-04-0011-02303,,AMBROSIO RESTRIVERA,52223,5.2223,GROUP 4,TD,TD-2579 (6772),ORIGINAL,52223,5.2223,1850,96612550,NOT YET INFUSED,0,0,No Date,No Date,No Remarks,0,0,RALI,RALI - FOR INFUSION,RALI,Included,BATCH 5,RALI-GROUP 4,6-10 Years,"• With pending legal case (LEONARDO RESTRIVERA, et al. vs MILAGROS ALUMIA AMBAYEC, et al. case)",AGRICULTURAL,FOR VERIFICATION,,0,31/12/1899,,TD,NOT ON HAND,MAPPED,FOR PLOTTING - TECH DESC READY,,,,88779100,1700,96612550,1850,No Project Allocation,TBD,No ID/Unmapped,,
